question,selected,correct,answer,time,score,timestamp
What does 'len()' do?,Returns length,True,Returns length,4.04,10,2025-07-05T18:39:22.423773
What does 'len()' do?,Returns length,True,Returns length,5.83,20,2025-07-05T18:39:42.553331
question,selected,correct,answer,time,score,timestamp
Which function creates array?,array(),True,array(),4.84,10,2025-07-05T18:40:19.206600
Which function creates array?,array(),True,array(),2.49,20,2025-07-05T18:40:27.124528
question,selected,correct,answer,time,score,timestamp
What does 'len()' do?,Returns length,True,Returns length,2.52,10,2025-07-05T18:44:35.056532
What does 'len()' do?,Calculates power,False,Returns length,2.17,5,2025-07-05T18:44:54.022575
What does 'len()' do?,Returns length,True,Returns length,5.03,15,2025-07-05T18:45:18.072108
question,selected,correct,answer,time,score,timestamp
What does 'len()' do?,Returns length,True,Returns length,1.49,10,2025-07-05T18:46:03.184715
What does 'len()' do?,Calculates power,False,Returns length,1.38,5,2025-07-05T18:46:13.921870
What does 'len()' do?,Loops data,False,Returns length,2.19,0,2025-07-05T18:46:27.605258
question,selected,correct,answer,time,score,timestamp
Which data type is immutable in Python?,list,False,tuple,3.26,0,2025-07-05T19:05:04.092108
Which is the correct way to create a variable in Python?,int x = 10,False,x = 10,1.57,0,2025-07-05T19:05:13.218012
Which is the correct way to create a variable in Python?,x : 10,False,x = 10,1.77,0,2025-07-05T19:05:20.523933
Which is the correct way to create a variable in Python?,int x = 10,False,x = 10,1.39,0,2025-07-05T19:05:27.445223
question,selected,correct,answer,time,score,timestamp
Which data type is immutable in Python?,list,False,tuple,2.29,0,2025-07-05T19:09:06.344721
question,selected,correct,answer,time,score,timestamp
Which data type is immutable in Python?,list,False,tuple,1.35,0,2025-07-05T19:15:54.168417
question,selected,correct,answer,time,score,timestamp
Which data type is immutable in Python?,list,False,tuple,1.22,0,2025-07-05T19:17:46.061215
question,selected,correct,answer,time,score,timestamp
Which data type is immutable in Python?,tuple,True,tuple,3.08,10,2025-07-05T19:18:57.270885
Which data type is immutable in Python?,list,False,tuple,2.3,5,2025-07-05T19:19:13.755701
How do you access the last element of a list in Python?,list[-1],True,list[-1],2.58,15,2025-07-05T19:19:23.864046
How do you access the last element of a list in Python?,list[1],False,list[-1],1.76,10,2025-07-05T19:19:32.977315
question,selected,correct,answer,time,score,timestamp
Which data type is immutable in Python?,tuple,True,tuple,3.99,10,2025-07-05T19:25:34.332923
question,selected,correct,answer,time,score,timestamp
"What does np.zeros((2,2)) create?",2x2 ones array,False,2x2 zeros array,3.32,0,2025-07-05T20:37:58.648673
